Label,Notation,Parent Notation,Sort Priority
1 activity,1-activity,,0
1- Most deprived,1-most-deprived,,1
1-2 nights,1-2-nights,,2
10- Least deprived,10-least-deprived,,3
1000Mbps or above (1Gbps),1000mbps-or-above-1gbps,,4
12 months or less,12-months-or-less,,5
16 to 19,16-to-19,,6
2 activities,2-activities,,7
2.0,2-0,,8
20 to 24,20-to-24,,9
2021-06-03,2021-06-03,,10
2021-10-07,2021-10-07,,11
25 to 29,25-to-29,,12
3+ activities,3-activities,,13
3.0,3-0,,14
30 to 34,30-to-34,,15
35 to 39,35-to-39,,16
4 hours or more,4-hours-or-more,,17
4.0,4-0,,18
40 to 44,40-to-44,,19
45 to 49,45-to-49,,20
5 years or more,5-years-or-more,,21
5.0,5-0,,22
50 to 54,50-to-54,,23
55 to 59,55-to-59,,24
6.0,6-0,,25
60 to 64,60-to-64,,26
65 to 69,65-to-69,,27
7.0,7-0,,28
70 to 74,70-to-74,,29
75 to 79,75-to-79,,30
8.0,8-0,,31
80 to 84,80-to-84,,32
85 or over,85-or-over,,33
9.0,9-0,,34
A Wi-Fi router or internet hub (A router is a device that communicates between the internet and the devices in your home that connect to the internet),a-wi-fi-router-or-internet-hub-a-router-is-a-device-that-communicates-between-the-internet-and-the-devices-in-your-home-that-connect-to-the-internet,,35
A few of them,a-few-of-them,,36
A historic place or building,a-historic-place-or-building,,37
A library,a-library,,38
"A mobile phone network provider (such as O2, EE)",a-mobile-phone-network-provider-such-as-o2-ee,,39
A museum or gallery,a-museum-or-gallery,,40
About once a day,about-once-a-day,,41
"Access and use public services online, including filling in forms (such as Vehicle tax, Voting registration, medical visits or prescriptions)",access-and-use-public-services-online-including-filling-in-forms-such-as-vehicle-tax-voting-registration-medical-visits-or-prescriptions,,42
Access content using a log-in belonging to someone NOT in my household,access-content-using-a-log-in-belonging-to-someone-not-in-my-household,,43
Access free content,access-free-content,,44
"Access paid content for free, using other methods",access-paid-content-for-free-using-other-methods,,45
"Accessed online resources such as e-books, magazines or journals",accessed-online-resources-such-as-e-books-magazines-or-journals,,46
Accessed online services via library membership such as journals or family history sites,accessed-online-services-via-library-membership-such-as-journals-or-family-history-sites,,47
Accessed some other library service online (type in) *Open,accessed-some-other-library-service-online-type-in-open,,48
Accessing benefits,accessing-benefits,,49
Accompanying children,accompanying-children,,50
Activate pop-up blockers on my web browser,activate-pop-up-blockers-on-my-web-browser,,51
Affluent Achievers,affluent-achievers,,52
African,african,,53
Agree,agree,,54
All of them,all-of-them,,55
Allow computer systems and security software to be updated when prompted,allow-computer-systems-and-security-software-to-be-updated-when-prompted,,56
Almost all the time,almost-all-the-time,,57
Always,always,,58
Another kind of qualification,another-kind-of-qualification,,59
Any other Asian background,any-other-asian-background,,60
Any other Black/African/Caribbean background,any-other-black/african/caribbean-background,,61
Any other Mixed/Multiple ethnic background,any-other-mixed/multiple-ethnic-background,,62
Any other White background,any-other-white-background,,63
Any other ethnic group,any-other-ethnic-group,,64
Any other religion,any-other-religion,,65
Arab,arab,,66
Around half of them,around-half-of-them,,67
Art displays or exhibitions (excluding museums),art-displays-or-exhibitions-excluding-museums,,68
Arts,arts,,69
As a participant in a commercial rally,as-a-participant-in-a-commercial-rally,,70
As an individual or part of a social group,as-an-individual-or-part-of-a-social-group,,71
As part of an organised archaeological survey in a volunteer role,as-part-of-an-organised-archaeological-survey-in-a-volunteer-role,,72
As part of an organised group or tour,as-part-of-an-organised-group-or-tour,,73
At least 2 hours but less than 4 hours,at-least-2-hours-but-less-than-4-hours,,74
At least 2 years but less than 3 years,at-least-2-years-but-less-than-3-years,,75
At least 3 years but less than 4 years,at-least-3-years-but-less-than-4-years,,76
At least 30 minutes but less than an hour,at-least-30-minutes-but-less-than-an-hour,,77
At least 4 years but less than 5 years,at-least-4-years-but-less-than-5-years,,78
At least an hour but less than 2 hours,at-least-an-hour-but-less-than-2-hours,,79
At least once a week,at-least-once-a-week,,80
Athletics,athletics,,81
Attending a local event,attending-a-local-event,,82
Attending a local event [Note 5],attending-a-local-event-note-5,,83
Attending a national event,attending-a-national-event,,84
Attending a national event [Note 5],attending-a-national-event-note-5,,85
Attending an digital or online event,attending-an-digital-or-online-event,,86
Attending an digital or online event [Note 5],attending-an-digital-or-online-event-note-5,,87
